Model,Accuracy,Precision,Recall,F1-Score,Correct,Wrong,Total
XGBoost-Enhanced,66.7%,0.667,1.000,0.800,24,12,36
LightGBM-Enhanced,0.0%,0.000,0.000,0.000,0,0,36
